Unnamed: 0,character,line,movie
3481,BRUCE BANNER,"Call every lab you know. Tell them to put the Spectrometers on the roof and calibrate them for Gamma rays. I’ll rough out a tracking algorithm, basic cluster recognition. At least we could rule out a few places. Do you have somewhere for me to work? ",The Avengers
3482,NICK FURY,"Agent Romanoff, would you show Doctor Banner to his laboratory, please?",The Avengers
3483,NATASHA ROMANOFF,"You’re gonna love it, Doc. We got all the toys. ",The Avengers
3484,BRUCE BANNER,Really? Do you have the com-meter sixty-four?,The Avengers
3485,NATASHA ROMANOFF,I’m not sure-,The Avengers
3486,BRUCE BANNER,Oh you’re very young.,The Avengers
3487,NICK FURY,"Hill, did you tell the council that Barton had been compromised? ",The Avengers
3488,MARIA HILL,Was that not procedure? Did you tell them who exactly is on your response team?,The Avengers
3489,NICK FURY,Doesn’t appear that I have to.,The Avengers
3490,ERIK SELVIG,Put it over there. Where did you find all these people?,The Avengers
3491,CLINT BARTON,"SHIELD has no shortage of enemies, Doctor. This the stuff you need? ",The Avengers
3492,ERIK SELVIG,"Yeah. Iridium. It’s found in meteorites, it forms anti-protons. It’s very hard to get hold of. ",The Avengers
3493,CLINT BARTON,Especially if SHIELD knows you need it.,The Avengers
3494,ERIK SELVIG,"Well, I didn’t know. Hey! This is wonderful. The Tesseract has shown me so much. It’s- it’s more than knowledge, it’s truth. ",The Avengers
3495,LOKI,"I know. It, ah- it touches everyone differently. What did it show you Agent Barton? ",The Avengers
3496,CLINT BARTON,My next target.,The Avengers
3497,ERIK SELVIG,"Stick in the mud. He’s got no soul. No wonder you chose this, this tomb to work in. ",The Avengers
3498,CLINT BARTON,"Well, the Radisson doesn’t have three levels of lead lined flooring between SHIELD and that Cube.",The Avengers
3499,LOKI,I see why Fury chose you to guard it.,The Avengers
3500,CLINT BARTON,"You’re going to have to contend with him sir. As long as he’s in the air, I can’t pin him down. And he’ll be putting together a team. ",The Avengers
3501,LOKI,Are they a threat?,The Avengers
3502,CLINT BARTON,"To each other more than likely. But if Fury can get ’em on track, and he might, they could throw some noise our way. ",The Avengers
3503,LOKI,You admire Fury.,The Avengers
3504,CLINT BARTON,He’s got a clear line of sight.,The Avengers
3505,LOKI,Is that why you failed to kill him?,The Avengers
3506,CLINT BARTON,"It might be. I was disoriented, and I’m not at my best with a gun. ",The Avengers
3507,LOKI,"I want to know everything you can tell me about this team of his. I would- test their mettle. I am weary of scuttling in shadow. I mean to rule this world, not burrow in it. ",The Avengers
3508,CLINT BARTON,That’s a risk,The Avengers
3509,LOKI,Oh yes.,The Avengers
3510,CLINT BARTON,If you’re set on making yourself known. I could be useful.,The Avengers
3511,LOKI,Tell me what you need.,The Avengers
3512,CLINT BARTON,I need a distraction. And an eyeball.,The Avengers
3513,PHIL COULSON,"I mean, if it’s not too much trouble. ",The Avengers
3514,STEVE ROGERS,"No-no, it’s fine. ",The Avengers
3515,PHIL COULSON,"It’s a vintage set. Took me a couple of years to collect them all. Near mint, slight foxing around the edges but- ",The Avengers
3516,JAPSER SITWELL,"We got a hit. Sixty seven percent match. Wait- cross-match, seventy nine percent. ",The Avengers
3517,PHIL COULSON,Location?,The Avengers
3518,JAPSER SITWELL,"Stuttgart, Germany. Twenty eight, Königstraße. He’s not exactly hiding. ",The Avengers
3519,NICK FURY,"Captain, you’re up.",The Avengers
3520,LOKI,"Kneel before me. I said- KNEEL!  Is not this simpler? Is this not your natural state? It’s the unspoken truth of humanity, that you crave subjugation. The bright lure of freedom diminishes your life’s joy in a mad scramble for power, for identity. You were made- to be ruled. In the end- you will always kneel.",The Avengers
3521,GERMAN OLD MAN,Not to men like you.,The Avengers
3522,LOKI,There are no men like me.,The Avengers
3523,GERMAN OLD MAN,There are always men like you.,The Avengers
3524,LOKI,"Look to your elder, people. Let him be an example.",The Avengers
3525,STEVE ROGERS,"You know, the last time I was in Germany and saw a man standing above everybody else, we ended up disagreeing. ",The Avengers
3526,LOKI,The soldier- the man out of time.,The Avengers
3527,STEVE ROGERS,I’m not the one who’s out of time.,The Avengers
3528,NATASHA ROMANOFF,"Loki, drop the weapon and stand down.",The Avengers
3529,LOKI,Kneel!,The Avengers
3530,STEVE ROGERS,Not today.,The Avengers
3531,NATASHA ROMANOFF,Guy’s all over the place.,The Avengers
3532,TONY STARK,"Agent Romanoff, you miss me? Make a move reindeer games. Good move.",The Avengers
3533,STEVE ROGERS,Mister Stark.,The Avengers
3534,TONY STARK,Captain.,The Avengers
3535,NICK FURY,He saying anything?,The Avengers
3536,NATASHA ROMANOFF,Not a word.,The Avengers
3537,NICK FURY,"Just get him here, we’re low on time. ",The Avengers
3538,STEVE ROGERS,I don’t like it.,The Avengers
3539,TONY STARK,What? Rock of Ages giving up so easily?,The Avengers
